603,12.610,15.755,17.818,20.049,12.023,15.229,12.012,13.039,14.547,7.146,8.047,9.993
604,12.401,15.484,17.522,19.744,11.797,14.936,11.951,13.079,14.524,7.529,8.464,10.413
605,12.190,15.210,17.220,19.430,11.570,14.640,11.890,13.120,14.500,7.952,8.919,10.869
606,11.979,14.933,16.913,19.104,11.345,14.343,11.830,13.161,14.474,8.281,9.274,11.213
607,11.766,14.653,16.602,18.770,11.121,14.045,11.771,13.204,14.449,8.617,9.633,11.557
608,11.552,14.370,16.287,18.431,10.897,13.747,11.713,13.248,14.426,8.956,9.993,11.899
609,11.336,14.086,15.970,18.087,10.673,13.448,11.656,13.293,14.406,18.258,28.871,48.291
610,11.120,13.800,15.650,17.740,10.450,13.150,11.600,13.340,14.390,137.222,177.206,208.279
611,10.903,13.512,15.329,17.389,10.228,12.854,11.547,13.392,14.384,17.428,11.046,15.042
612,10.685,13.224,15.007,17.038,10.006,12.558,11.496,13.445,14.383,10.279,11.377,13.181
613,10.466,12.936,14.685,16.689,9.786,12.264,11.446,13.500,14.385,25.535,32.722,42.066
614,10.248,12.648,14.362,16.342,9.567,11.971,11.398,13.555,14.391,140.663,179.563,225.813
615,10.030,12.360,14.040,16.000,9.350,11.680,11.350,13.610,14.400,14.023,17.444,22.207
616,9.811,12.073,13.718,15.685,9.133,11.388,11.301,13.664,14.409,11.391,12.507,14.170
617,9.592,11.788,13.398,15.373,8.918,11.098,11.253,13.718,14.420,11.610,12.723,14.346
618,9.376,11.505,13.079,15.061,8.706,10.811,11.207,13.770,14.434,11.801,12.909,14.490
619,9.161,11.226,12.763,14.744,8.496,10.528,11.162,13.821,14.450,11.962,13.062,14.599
620,8.950,10.950,12.450,14.420,8.290,10.250,11.120,13.870,14.470,12.090,13.180,14.670
621,8.746,10.683,12.144,14.054,8.090,9.981,11.084,13.915,14.498,12.263,13.342,14.769
622,8.545,10.420,11.841,13.681,7.893,9.717,11.049,13.958,14.528,12.379,13.443,14.809
623,8.348,10.161,11.541,13.305,7.699,9.457,11.016,13.998,14.559,12.413,13.462,14.770
624,8.153,9.904,11.244,12.930,7.508,9.202,10.983,14.035,14.590,12.345,13.375,14.634
625,7.960,9.650,10.950,12.560,7.320,8.950,10.950,14.070,14.620,12.150,13.160,14.380
626,7.766,9.392,10.653,12.216,7.131,8.699,10.918,14.105,14.651,11.610,12.597,13.820
627,7.574,9.137,10.359,11.881,6.945,8.451,10.884,14.136,14.678,10.948,11.909,13.146
628,7.386,8.886,10.070,11.555,6.762,8.209,10.847,14.163,14.700,10.190,11.123,12.383
629,7.201,8.640,9.786,11.238,6.584,7.971,10.806,14.184,14.715,9.590,10.577,11.640
630,7.020,8.400,9.510,10.930,6.410,7.740,10.760,14.200,14.720,18.268,23.340,30.699
631,6.849,8.174,9.250,10.635,6.246,7.520,10.698,14.200,14.698,7.876,8.808,9.936
632,6.682,7.953,8.997,10.348,6.087,7.306,10.632,14.194,14.668,6.805,7.624,9.005
633,6.519,7.738,8.750,10.067,5.932,7.097,10.562,14.185,14.632,5.976,6.760,8.155
634,6.358,7.527,8.508,9.792,5.779,6.892,10.491,14.173,14.592,5.180,5.917,7.304
635,6.200,7.320,8.270,9.520,5.630,6.690,10.420,14.160,14.550,4.430,5.110,6.460
636,6.039,7.110,8.030,9.243,5.479,6.486,10.349,14.146,14.508,3.771,4.338,5.536
637,5.880,6.904,7.793,8.970,5.330,6.286,10.281,14.134,14.470,3.184,3.631,4.655
638,5.724,6.702,7.561,8.701,5.183,6.089,10.217,14.126,14.438,2.679,3.006,3.847
639,5.570,6.504,7.333,8.438,5.040,5.897,10.160,14.124,14.414,2.265,2.480,3.142
640,5.420,6.310,7.110,8.180,4.900,5.710,10.110,14.130,14.400,1.950,2.070,2.570
641,5.274,6.124,6.894,7.933,4.764,5.531,10.083,14.162,14.416,1.843,1.934,2.371
642,5.132,5.942,6.685,7.692,4.633,5.358,10.064,14.201,14.444,1.829,1.912,2.312
643,4.994,5.766,6.481,7.458,4.505,5.190,10.051,14.246,14.482,1.893,1.985,2.370
644,4.860,5.596,6.282,7.231,4.380,5.027,10.044,14.293,14.528,2.018,2.134,2.524
